medicaments;QuantiteStock;PrixCession;PrixPublic;DateSortie;Listes;Classes;Formes;;;;;;;
Eurastesim 320/40 cp ;0;2?500 CFA;3?545 CFA;06/07/2022;LISTE II;Supplement vitaminique;Comprimes Gelules;;;;;;;
Bicef 500mg cp disp B/10;0;2?232 CFA;3?178 CFA;19/05/2018;LISTE I;Antiinfectieux Antibacterien (Cephalosporines 1 ge;Comprimes Gelules;;;;;;;
Ciptadine 4mg cp B/30;0;0 CFA;0 CFA;11/05/2023;SANS TABLEAU;Antihistaminique Antiallergique Stimulant de leapp;Comprimes Gelules;;;;;;;
Dodecavit inj B/6 amp de 2ml;0;0 CFA;0 CFA;;SANS TABLEAU;Antianemique ;Injectables;;;;;;;
Laevolac sp Fl/200ml;0;1?565 CFA;2?200 CFA;28/05/2017;SANS TABLEAU;Laxatif;Sirops;;;;;;;
Vegebom creme adouc peaux seche;0;0 CFA;0 CFA;16/09/2023;SANS TABLEAU;Hydratant cutane;Pommades cremes;;;;;;;
Brocef sirop;0;1?616 CFA;2?302 CFA;22/06/2018;LISTE II;;Sirops;;;;;;;
Dermosome Neo creme;0;802 CFA;1?167 CFA;23/03/2023;LISTE I;;Gel cutane;;;;;;;
Diaglim 3mg;0;1?526 CFA;2?175 CFA;24/02/2023;LISTE II;;Comprimes Gelules;;;;;;;
Nivea baby;0;2?000 CFA;3?076 CFA;03/11/2019;SANS TABLEAU;;Baume Lait;;;;;;;
Biberon enverre jaune fl/240ml;0;2?789 CFA;4?329 CFA;08/07/2022;LISTE I;;Comprimes Gelules;;;;;;;
Bifosa 75 mg ;0;5?238 CFA;7?404 CFA;20/05/2021;LISTE I;;Comprimes Gelules;;;;;;;
;0;40 CFA;40 CFA;;;;;;;;;;;
Ceris 20mg cp bt/30;0;3?550 CFA;5?031 CFA;06/06/2020;LISTE I;;Comprimes Gelules;;;;;;;
Test grossesse one step band 1;0;1?783 CFA;2?546 CFA;21/03/2020;ST;;Divers ;;;;;;;
Allergus sp ;0;0 CFA;40 CFA;02/10/2020;ST;;Sirops;;;;;;;
Parfum paco rabane 25ml;0;2?744 CFA;4?260 CFA;09/10/2021;ST;;Divers ;;;;;;;
Topicrem mela creme nuit ;0;8?979 CFA;16?295 CFA;21/02/2022;SANS TABLEAU;;Pommades cremes;;;;;;;
;0;0 CFA;40 CFA;;;;;;;;;;;
Biclinocilline 1000.000 UI inj IM;0;0 CFA;40 CFA;;Liste I;Antiinfectieux Antibacterien (Penicillines);Injectables;;;;;;;
Citraginine amp B/20;0;0 CFA;0 CFA;;SANS TABLEAU;Antiasthenique;Ampoules buvables;;;;;;;
Dogmatil 100mg/2ml inj B/6 amp;0;2?262 CFA;3?220 CFA;31/08/2020;Liste I;Antiseptique Neuroleptique;Injectables;;;;;;;
Frubiose VitD1000UIamp B/20;0;0 CFA;0 CFA;;SANS TABLEAU;Supplement en Vit D;Ampoules buvables;;;;;;;
Nasonex 50mcg 40 doses spray nasal;0;4?254 CFA;6?021 CFA;09/05/2023;LISTE I;Decongestif nasal Antiseptique;Gouttes/Spray nasal;;;;;;;
Presantine 75mg cp B/30;0;0 CFA;30 CFA;;Liste II;Antiagregant plaquettaire Antithrombique;Comprimes Gelules;;;;;;;
Vegebom creme adoucissant karite T/40g;0;0 CFA;0 CFA;;SANS TABLEAU;Protecteur cutane;Pommades cremes;;;;;;;
Dolo denk gel;0;2?827 CFA;4?004 CFA;29/03/2023;LISTE II;;Gel cutane;;;;;;;
Diaglim 4mg;0;1?810 CFA;2?584 CFA;14/12/2022;LISTE I;;Comprimes Gelules;;;;;;;
Nivea mousse ;0;2?500 CFA;3?845 CFA;07/06/2018;SANS TABLEAU;;Pommades cremes;;;;;;;
Biberon en verre fl/110ml caou bleu marine;0;3?159 CFA;5?323 CFA;04/03/2022;SANS TABLEAU;;Verres et tetines;;;;;;;
BDLOX 750mg ;0;4?032 CFA;5?708 CFA;;LISTE I;;Comprimes Gelules;;;;;;;
Clairissim lait eclair 500ml sk;0;4?160 CFA;6?136 CFA;27/07/2020;SANS TABLEAU;;Lait;;;;;;;
Ringer lact bb ecoflac 500ml;0;500 CFA;703 CFA;10/12/2022;SANS TABLEAU;;Solutions buvables ou rectales;;;;;;;
Dismigras 5mg cp b/30;0;3?039 CFA;4?312 CFA;26/08/2023;LISTE I;;Comprimes Gelules;;;;;;;
Topicrem mon premier savon douceur 150g;0;4?505 CFA;6?968 CFA;10/01/2021;;;Pains;;;;;;;
Parfum xs lexes 25ml;0;1?776 CFA;2?771 CFA;;ST;;Divers ;;;;;;;
Biguan 500mg cp B/50;0;0 CFA;40 CFA;;Liste I;Antidiabetique;Comprimes Gelules;;;;;;;
Citrate de betaine UPSA cp ;0;0 CFA;0 CFA;09/08/2023;SANS TABLEAU;Antidyspeptique Hypolipidemiant;Comprimes Gelules;;;;;;;
Dogmatil 50mg cp B/30 ;0;2?234 CFA;3?181 CFA;10/11/2021;LISTE I;Antiseptique Neuroleptique;Comprimes Gelules;;;;;;;
Frubiose VitD5000UI amp B/20;0;0 CFA;0 CFA;;SANS TABLEAU;Supplement en Vit D;Ampoules buvables;;;;;;;
"Lamisil 1% T/7;""5g;0;3?163 CFA;4?477 CFA;24/07/2020;LISTE II;Antimycosique Antifongique;Pommades cremes"";;;;;;"
Nautamine cp B/20;0;0 CFA;0 CFA;;SANS TABLEAU;Antinaupathique;Comprimes Gelules;;;;;;;
Perubore cp pour inhalation B/30;0;0 CFA;0 CFA;;SANS TABLEAU;Decongestionnant des voies aeriennes superieures;Comprimes Gelules;;;;;;;
Vegebom inhaler;0;0 CFA;0 CFA;;SANS TABLEAU;Confort respiratoire;Inhalation;;;;;;;
;0;0 CFA;30 CFA;;;;;;;;;;;
Nivea douceur fl/400ml;0;0 CFA;0 CFA;12/06/2022;SANS TABLEAU;;;;;;;;;
Dermosone neo pommade T/15g;0;861 CFA;1?250 CFA;29/12/2022;I;;Pommades cremes;;;;;;;
Cefexol gl ;0;3?144 CFA;4?460 CFA;02/03/2023;LISTE I;;Comprimes Gelules;;;;;;;
Sensodyne dent cure sensibilite t/75ml;0;1?849 CFA;3?355 CFA;25/08/2019;SANS TABLEAU;;;;;;;;;
Nrubu forte pl;0;0 CFA;40 CFA;26/01/2019;;;Comprimes Gelules;;;;;;;
Sebionex hydra creme repar t/40ml;0;8?250 CFA;15?012 CFA;25/06/2021;;;Pommades cremes;;;;;;;
Lipo stick de mon pharmacien;0;10 CFA;40 CFA;07/12/2021;;;;;;;;;;
Parfum givenchy Pi;0;1?776 CFA;2?771 CFA;;ST;;Divers ;;;;;;;
Amalar cp B/3;0;0 CFA;40 CFA;;LISTE I;Antipaludique;Comprimes Gelules;;;;;;;
Biguan 850mg cp B/50;0;0 CFA;40 CFA;;Liste I;Antidiabetique;Comprimes Gelules;;;;;;;
Citrosyl sol Fl/125ml;0;0 CFA;0 CFA;;SANS TABLEAU;Bactericide Virucide;Solutions externes lotions;;;;;;;
Dogmatil fort 200mg cp B/12;0;0 CFA;40 CFA;;Liste I;Neuroleptique;Comprimes Gelules;;;;;;;
Lamisil 250mg cp B/14;0;0 CFA;30 CFA;;Liste II;Antimycosique Antifongique;Comprimes Gelules;;;;;;;
Navidoxine 25mg cp B/10;0;0 CFA;30 CFA;;Liste II;Antiemetique Antivertigineux;Comprimes Gelules;;;;;;;
Spasfon suppo B/10;0;1?434 CFA;2?016 CFA;05/09/2022;SANS TABLEAU;Antispasmodique;Suppositoires;;;;;;;
Vegebom past sans sucre B/50g;0;0 CFA;0 CFA;;SANS TABLEAU;Adoucissant de la gorge;Pastilles;;;;;;;
Fortaline sirop;0;3?379 CFA;4?750 CFA;09/09/2023;SANS TABLEAU;;Sirops;;;;;;;
Mixa lait douceur fl/400ml;0;2?683 CFA;4?126 CFA;27/11/2020;SANS TABLEAU;;Baume Lait;;;;;;;
Sutrilneo 5 cp;0;1?551 CFA;2?210 CFA;08/06/2019;LISTE II;;Comprimes Gelules;;;;;;;
Elgydium clinic sensi gel 30ml;0;338 CFA;613 CFA;16/08/2023;SANS TABLEAU;;Dentifrices et brosses;;;;;;;
Sebionex SPF50 +gel matifiant t/40ml;0;7?676 CFA;12?735 CFA;13/11/2019;SANS TABLEAU;;Gel cutane;;;;;;;
Rhinathiol  sp Ad sans sucre fl/200ml;0;1?297 CFA;1?853 CFA;29/05/2022;LISTE II;;Sirops;;;;;;;
Parfum kurk dislan 25ml;0;2?842 CFA;4?410 CFA;02/07/2021;ST;;Divers ;;;;;;;
"Claforan 0;""5g IV IM inj B/1;0;0 CFA;40 CFA;;Liste I;Antiinfectieux Antibacterien (Cephalosporines 3 ge;Injectables"";;;;;;"
Dogmatil sp Fl/125ml;0;0 CFA;40 CFA;;LISTE I;Neuroleptique;Sirops;;;;;;;
Lamisil 250mg cp B/28;0;3?000 CFA;4?248 CFA;01/04/2017;Liste II;Antimycosique Antifongique;Comprimes Gelules;;;;;;;
Negram 1g Ad B/20;0;0 CFA;40 CFA;;Liste I;Antiinfectieux Antibacterien;Comprimes Gelules;;;;;;;
Spasmodex cp B/30;0;0 CFA;30 CFA;;Liste II;Antispasmodique Anticholinergique;Comprimes Gelules;;;;;;;
Fortrans  preparation pour lavage colique;0;3?897 CFA;9?376 CFA;13/02/2023;SANS TABLEAU;;Sachets Granules poudres orales;;;;;;;
Griseo S pde T/15gr;0;500 CFA;743 CFA;10/03/2020;LISTE I;;Gel cutane;;;;;;;
Zanocin OD 400mg cp B/10;0;0 CFA;40 CFA;;Liste I;Antiinfectieux Antibacterien (Quinlone 2 generatio;Comprimes Gelules;;;;;;;
Sebionex gel mouss purif  f/200ml;0;3?035 CFA;5?548 CFA;27/06/2022;ST;;Lait;;;;;;;
Phosphatine;0;40 CFA;40 CFA;15/10/2020;;;;;;;;;;
Rhumix sach b/10;0;101 CFA;195 CFA;18/09/2023;ST;;Sachets Granules poudres orales;;;;;;;
Topicrem ultra hydratant creme main fl/50ml;0;8?194 CFA;14?870 CFA;02/08/2022;SANS TABLEAU;;Pommades cremes;;;;;;;
Binoclar 250mg cp B/10;0;0 CFA;40 CFA;;Liste I;Antibilharziose;Comprimes Gelules;;;;;;;
Claforan 1g amp inj IM B/1;0;0 CFA;40 CFA;;LISTE I;Antiinfectieux Antibacterien (Cephalosporines 3 ge;Injectables;;;;;;;
Lansoyl gel pot /225g;0;0 CFA;0 CFA;;SANS TABLEAU;Laxatif;Gelee;;;;;;;
Pevaryl creme T/30g;0;2?021 CFA;2?841 CFA;02/12/2022;SANS TABLEAU;Antimycosique Antifongique;Pommades cremes;;;;;;;
Spasmodex suppo B/6;0;0 CFA;30 CFA;15/08/2018;LISTE II;Antispasmodique Anticholinergique;Suppositoires;;;;;;;
Vegebom pde T/45g;0;1?000 CFA;1?406 CFA;09/06/2023;SANS TABLEAU;Decongestionnant;Pommades cremes;;;;;;;
Dolospam cp;0;1?000 CFA;1?446 CFA;02/08/2018;LISTE I;;Comprimes Gelules;;;;;;;
Calcinib 5mg cp ;0;2?286 CFA;3?254 CFA;23/02/2021;LISTE I;;Comprimes Gelules;;;;;;;
Metafor 1g b/30;0;1?323 CFA;1?890 CFA;18/04/2023;LISTE II;;Comprimes Gelules;;;;;;;
Diclo denk 75 mg inj amp b/10;0;1?924 CFA;2?745 CFA;06/04/2023;I;;Injectables;;;;;;;
Optiskin pans adh ster comp tr 5.3x8cm ;0;1?876 CFA;2?925 CFA;16/10/2020;ST;;Divers ;;;;;;;
Binoclar  500mg cp B/14;0;7?790 CFA;10?992 CFA;14/11/2018;LISTE I;Antibilharziose;Comprimes Gelules;;;;;;;
Clamoxyl 125mg sp FL/60ml;0;510 CFA;757 CFA;20/09/2022;LISTE I;Antiinfectieux Antibacterien (Penicillines);Sirops;;;;;;;
Lanzor 15mg cp B/30;0;0 CFA;30 CFA;;Liste II;Antiulcereux (IPP);Comprimes Gelules;;;;;;;
Uracid 40mg;0;3?000 CFA;4?248 CFA;;LISTE II;Antihypertenseur (DT associes);Comprimes Gelules;;;;;;;
Vegebom suppo B/12;0;0 CFA;0 CFA;;SANS TABLEAU;Decongestionnant;Suppositoires;;;;;;;
Betaser cp 24mg bte 60;0;0 CFA;40 CFA;18/01/2018;LISTE I;;Comprimes Gelules;;;;;;;
Ketonal gel;0;1?000 CFA;1?446 CFA;07/05/2021;LISTE I;;Gel cutane;;;;;;;
Elgydium brillance;0;4?082 CFA;6?278 CFA;11/09/2020;SANS TABLEAU;;;;;;;;;
Amoxiclav denk comprimes b/16;0;3?074 CFA;4?362 CFA;10/03/2023;LISTE I;;Comprimes Gelules;;;;;;;
Cardensiel 2.5 mg ;0;25?244 CFA;35?533 CFA;08/08/2022;LISTE I;;Comprimes Gelules;;;;;;;
Oligobs grossesse  omega 3.7 vitamines 6 minerx b/30;0;8?488 CFA;11?974 CFA;22/06/2023;LISTE I;;Comprimes Gelules;;;;;;;
Keratosane 30% cr kerat t/40ml;0;5?356 CFA;8?886 CFA;21/03/2020;SANS TABLEAU;;Pommades cremes;;;;;;;
Biberon en ver nn silic vert fl/240ml;0;1?472 CFA;2?711 CFA;22/06/2022;ST;;Comprimes Gelules;;;;;;;
Binozit 200mg /5ml sp Fl/15ml;0;2?666 CFA;3?788 CFA;16/10/2020;Liste I;Antiinfectieux Antibacterien (Macrolides);Sirops;;;;;;;
Doliprane 100mg  sachet B/12;0;0 CFA;0 CFA;10/08/2023;SANS TABLEAU;Antalgique Antipyretique;Sachets Granules poudres orales;;;;;;;
Lanzor 30mg cp B/15;0;0 CFA;30 CFA;;Liste II;Antiulcereux (IPP);Comprimes Gelules;;;;;;;
Veinamitol sht B/10;0;0 CFA;0 CFA;;SANS TABLEAU;Vasculoprotecteur Veinotonique;Sachets Granules poudres orales;;;;;;;
Elgydium fraise;0;2?500 CFA;3?845 CFA;02/06/2021;SANS TABLEAU;;;;;;;;;
Topicrem fl/500mlx2;0;11?811 CFA;21?435 CFA;23/04/2021;SANS TABLEAU;;Baume Lait;;;;;;;
Pediakid nez gorge spray/20ml+2pomp;0;8?023 CFA;11?873 CFA;25/03/2021;;;Gouttes/Spray nasal;;;;;;;
Augmentin 500/50mg IV sol inj ss solv;0;3?411 CFA;4?835 CFA;09/04/2020;LISTE I;;Injectables;;;;;;;
Ibuprofen susp gh 120ml;0;1?105 CFA;1?583 CFA;27/07/2022;LISTE II;;Sirops;;;;;;;
Isispharma Uveblock spf 50+ fluide dry touch t/40ml;0;5?828 CFA;10?616 CFA;19/12/2022;;;Solutions externes lotions;;;;;;;
Parfum fl/10ml;0;1?000 CFA;1?538 CFA;21/05/2022;SANS TABLEAU;;Divers ;;;;;;;
Binozyt 500mg cp B/3 ;0;3?500 CFA;4?961 CFA;01/09/2023;Liste I;Antiinfectieux Antibacterien (Macrolides);Comprimes Gelules;;;;;;;
Clamoxyl 250mg sp Fl/60ml;0;730 CFA;1?066 CFA;14/09/2022;LISTE I;Antiinfectieux Antibacterien (Penicillines);Sirops;;;;;;;
Fumafer pdre B/50g;0;619 CFA;870 CFA;20/12/2019;SANS TABLEAU;Antianemique ;Sachets Granules poudres orales;;;;;;;
Neocodion sp Enf F/125ml;0;1?000 CFA;1?406 CFA;17/01/2022;SANS TABLEAU;Antitussif;Sirops;;;;;;;
Pevaryl spray derm Fl/30g ;0;1?500 CFA;2?109 CFA;03/04/2022;SANS TABLEAU;Antimycosique Antifongique;Spray solutions externes;;;;;;;
Sporidex 500mg cp B/10 gel;0;0 CFA;40 CFA;;LISTE I;Antiinfectieux Antibacterien (Cephalosporines 1 ge;Comprimes Gelules;;;;;;;
Veinobiase cp eff B/30;0;2?504 CFA;3?520 CFA;09/04/2019;SANS TABLEAU;Vasculoprotecteur Veinotonique;Comprimes Gelules;;;;;;;
Ilax 10mg sachets bte/20;0;1?577 CFA;2?217 CFA;23/08/2023;SANS TABLEAU;;Sachets Granules poudres orales;;;;;;;
Bledine lactee banane b/250g;0;1?800 CFA;2?655 CFA;14/10/2021;SANS TABLEAU;;Farines et lait;;;;;;;
Amfocin 200ml/5ml sup buv f/15ml;0;33 CFA;86 CFA;19/12/2018;I;;Sirops;;;;;;;
Omeprazole arrrow 40mg pdre sol perf fl/1;0;0 CFA;30 CFA;14/03/2020;LISTE II;;Injectables;;;;;;;
Clairissime lait amande 500ml;0;5?000 CFA;9?114 CFA;11/01/2023;ST;;Lait;;;;;;;
Progesterone gh 200mg caps oral/vag/15;0;3?576 CFA;5?067 CFA;19/08/2023;I;;Comprimes Gelules;;;;;;;
Binozit cp B/6;0;0 CFA;0 CFA;10/11/2020;SANS TABLEAU;Antiinfectieux Antibacterien (Macrolides);Comprimes Gelules;;;;;;;
Larimal cp 7-13 ans B/6;0;0 CFA;40 CFA;;Liste I;Antipaludique;Comprimes Gelules;;;;;;;
Neo medrol acne lotion Fl/25ml;0;1?500 CFA;2?109 CFA;29/10/2019;SANS TABLEAU;Antiacneique;Solutions externes lotions;;;;;;;
Pharmagrip cp B/14;0;1?278 CFA;1?796 CFA;02/07/2022;SANS TABLEAU;Rhume et etat grippal;Comprimes Gelules;;;;;;;
Sporiline lotion derm FL/25ml;0;1?118 CFA;1?571 CFA;22/12/2018;SANS TABLEAU;Antidermatophyte;Solutions externes lotions;;;;;;;
Veinotonyl 75mg gelu B/60;0;0 CFA;0 CFA;;SANS TABLEAU;Vasculoprotecteur Veinotonique;Comprimes Gelules;;;;;;;
Lofnac pde;0;0 CFA;30 CFA;01/04/2017;LISTE II;;Gel buccal ;;;;;;;
Bledine lactee biscuitee b/250g;0;2?080 CFA;3?068 CFA;12/08/2022;SANS TABLEAU;;;;;;;;;
Time sex controle gel b/60;0;7?230 CFA;10?704 CFA;17/03/2021;;;;;;;;;;
Preservatif manix xtra pleasure/3;0;2?566 CFA;3?647 CFA;22/11/2022;ST;;Divers ;;;;;;;
Inflakin etats inflammatoires cpr b/30;0;366 CFA;704 CFA;03/06/2021;ST;;Comprimes Gelules;;;;;;;
Manix xtra ;0;968 CFA;1?528 CFA;30/08/2022;ST;;Divers ;;;;;;;
Amcard 5 mg cp B/14;0;3?816 CFA;5?405 CFA;12/09/2022;LISTE I;Antihypertenseur Antiangoreux (IC);Comprimes Gelules;;;;;;;
Biocalyptolsp Fl/200ml;0;1?388 CFA;1?951 CFA;20/07/2022;SANS TABLEAU;Antitussif toux seche;Sirops;;;;;;;
Fungilyse creme /25g;0;1?500 CFA;2?109 CFA;18/07/2019;SANS TABLEAU;Antimycosique Antifongique;Pommades cremes;;;;;;;
Larimal cp 0 e 6 ans B/3;0;0 CFA;40 CFA;;Liste I;Antipaludique;Comprimes Gelules;;;;;;;
Neomercazole 20mg cp B/30;0;0 CFA;0 CFA;;SANS TABLEAU;Antithyroidien;Comprimes Gelules;;;;;;;
Sportenine cp e croquer B/22;0;0 CFA;0 CFA;;SANS TABLEAU;Fortifiant;Comprimes Gelules;;;;;;;
Elgydium anti plaque gm;0;7?878 CFA;12?156 CFA;14/07/2018;ST;;Dentifrices et brosses;;;;;;;
Bledine lactee croissance b/250g;0;1?720 CFA;2?537 CFA;01/02/2023;SANS TABLEAU;;;;;;;;;
Cardular 2mg ;0;8?672 CFA;12?232 CFA;28/03/2019;LISTE I;;Comprimes Gelules;;;;;;;
Amoxicilline 250 MG SP Ubigen B/60ML;0;-28 CFA;0 CFA;02/01/2023;LISTE I;;Sirops;;;;;;;
Infinity lancettes b/100;0;3?534 CFA;5?435 CFA;19/08/2022;SANS TABLEAU;;Divers ;;;;;;;
Topicrem ultra hydr scintil corps lait 200ml;0;1?190 CFA;2?199 CFA;23/04/2021;;;Divers ;;;;;;;
Falciart 80mg/480mg cp b/6;0;2?033 CFA;2?898 CFA;26/10/2022;I;;Comprimes Gelules;;;;;;;
Mousticare famille spray 125ml ;0;617 CFA;988 CFA;21/08/2022;ST;;Divers ;;;;;;;
Biodermine pde T/42g;0;0 CFA;0 CFA;;SANS TABLEAU;Antiseborrheique;Pommades cremes;;;;;;;
Betarsec 24mg cp B/60;0;0 CFA;40 CFA;24/03/2020;Liste I;Antivertigineux;Comprimes Gelules;;;;;;;
Fungilyse ovule B/6;0;1?823 CFA;2?563 CFA;10/01/2018;SANS TABLEAU;Antimycosique Antifongique;Ovules comprimes gynecologiques;;;;;;;
Larimal cp apres 13 ans B/12;0;0 CFA;40 CFA;;Liste I;Antipaludique;Comprimes Gelules;;;;;;;
Neomercazole 5mg cp B/50;0;0 CFA;0 CFA;;SANS TABLEAU;Antithyroidien;Comprimes Gelules;;;;;;;
Pharmatex tube B/6 unidose;0;0 CFA;0 CFA;;SANS TABLEAU;Contraceptif;Pommades cremes;;;;;;;
Spregal spray aerosol FL/200ml;0;0 CFA;0 CFA;;SANS TABLEAU;Antiscabieux;Spray solutions externes;;;;;;;
Magnes direct denk sachets;0;296 CFA;436 CFA;10/08/2023;SANS TABLEAU;;Sachets Granules poudres orales;;;;;;;
Parogencyl gencives sensibles;0;1?934 CFA;2?974 CFA;20/07/2023;SANS TABLEAU;;Dentifrices et brosses;;;;;;;
Diabirel 4 mg ;0;5?214 CFA;7?370 CFA;;LISTE I;;Comprimes Gelules;;;;;;;
Depi white lait depigmentante ;0;9?117 CFA;16?545 CFA;09/02/2022;SANS TABLEAU;;Lait;;;;;;;
Artecom cp b/8;0;3?045 CFA;4?321 CFA;12/09/2020;II;;Comprimes Gelules;;;;;;;
Ampicilline gelule;0;0 CFA;40 CFA;06/07/2020;I;;Comprimes Gelules;;;;;;;
Vitiskin spray;0;13?628 CFA;24?772 CFA;24/03/2020;;;;;;;;;;
;0;10 CFA;40 CFA;;;;;;;;;;;
Biodroxil 1000 mg cp B/12;0;6?394 CFA;9?029 CFA;20/01/2021;LISTE I;Antiseborrheique;Comprimes Gelules;;;;;;;
Claradol 500mg cp eff B/16 sans sucre;0;0 CFA;40 CFA;;Liste I;Antalgique Antipyretique;Comprimes Gelules;;;;;;;
Fungizone cp B/40;0;0 CFA;40 CFA;;LISTE I;Antimycosique Antibacterien;Comprimes Gelules;;;;;;;
Neopred cy Fl/5ml;0;1?500 CFA;2?149 CFA;23/05/2023;LISTE I;Antiinfectieux Antiinflammatoire steroidien;Collyres;;;;;;;
Srilane 5% gelT/60g;0;0 CFA;0 CFA;;SANS TABLEAU;Douleur traumatique;Gel cutane;;;;;;;
Fridial cp;0;1?703 CFA;2?434 CFA;09/06/2023;LISTE I;;Comprimes Gelules;;;;;;;
Panadol rhume et grippe cp pell b/16;0;1?079 CFA;1?517 CFA;17/07/2019;SANS TABLEAU;;Comprimes Gelules;;;;;;;
Exilir parego cp;0;5?146 CFA;7?275 CFA;31/12/2018;LISTE I;;Comprimes Gelules;;;;;;;
Lait valda a l'huile d'amande douce ;0;1?007 CFA;1?827 CFA;11/08/2023;SANS TABLEAU;;Baume Lait;;;;;;;
;0;0 CFA;40 CFA;;;;;;;;;;;
Rosuvastatine pms 20mg cp b/30;0;10?537 CFA;14?855 CFA;26/11/2020;LISTE I;;Comprimes Gelules;;;;;;;
G tset screen b/1;0;1?000 CFA;1?576 CFA;09/04/2020;;;;;;;;;;
Clairissime gel gommant 400ml;0;6?905 CFA;10?659 CFA;11/01/2023;ST;;Divers ;;;;;;;
Quintana 2.5mg/5ml sol buv fl/60ml;0;0 CFA;0 CFA;23/08/2023;SANS TABLEAU;;Sirops;;;;;;;
Amether denk sp FI/60ml;0;0 CFA;40 CFA;;Liste I;Antipaludique;Sirops;;;;;;;
Biodroxil 500mg cp B/12;0;3?500 CFA;4?961 CFA;30/08/2021;LISTE I;Antiseborrheique;Comprimes Gelules;;;;;;;
Clarie DT cp B/10;0;0 CFA;40 CFA;;Liste I;Antiinfectieux Antibacterien (Cyclines);Comprimes Gelules;;;;;;;
Fungizonesusp FL/40ml;0;0 CFA;40 CFA;;Liste I;Antimycosique Antibacterien;Sirops;;;;;;;
Larmes artificielles cy;0;0 CFA;0 CFA;;SANS TABLEAU;Sibstitut lacrimal;Collyres;;;;;;;
Stablon cp B/30;0;5?430 CFA;7?674 CFA;22/12/2020;LISTE I;Antidepresseur;Comprimes Gelules;;;;;;;
Ventoline 2mg cp B/40;0;2?167 CFA;3?086 CFA;26/02/2022;Liste I;Bronchodilatateur;Comprimes Gelules;;;;;;;
;0;0 CFA;0 CFA;;;;;;;;;;;
Betaserc cp ;0;6?028 CFA;8?515 CFA;08/08/2023;LISTE I;;Comprimes Gelules;;;;;;;
Parodontax saignement;0;4?000 CFA;6?152 CFA;19/06/2017;SANS TABLEAU;;;;;;;;;
Lait valda a l'huile d'argan;0;1?006 CFA;1?825 CFA;02/05/2023;SANS TABLEAU;;Baume Lait;;;;;;;
Nutrilac pot/360g;0;224 CFA;280 CFA;15/04/2019;SANS TABLEAU;;Farines et lait;;;;;;;
Mixa ad lait corps nutrition fl/250;0;1?854 CFA;3?404 CFA;06/08/2022;ST;;Lait;;;;;;;
Hcg test;0;1?000 CFA;1?406 CFA;09/06/2022;SANS TABLEAU;;Divers ;;;;;;;
Gestane grossesse caps b/30;0;4?694 CFA;8?558 CFA;19/05/2023;ST;;Comprimes Gelules;;;;;;;
Biberon ver vintag nn caout vert 240ml;0;4?038 CFA;7?368 CFA;27/06/2022;ST;;Verres et tetines;;;;;;;
Topicrem eau micellaire vis/yeux f/200ml;0;569 CFA;1?072 CFA;03/05/2022;;;Lait;;;;;;;
Mucopain gel buccal t/15g;0;701 CFA;1?118 CFA;07/09/2022;ST;;Gel buccal ;;;;;;;
Biodroxil 125mg/5ml sp Fl/60ml;0;2?000 CFA;2?852 CFA;15/11/2022;Liste I;Antiinfectieux Antibacterien (Cephalosporines 1 ge;Sirops;;;;;;;
Clarie OD 500mg cp B/7;0;0 CFA;30 CFA;;Liste II;Antiinfectieux Antibacterien (Macrolides);Comprimes Gelules;;;;;;;
Doliprane 500mg cp  eff B/16;0;765 CFA;1?075 CFA;26/12/2022;SANS TABLEAU;Antalgique Antipyretique;Comprimes Gelules;;;;;;;
Funzol 150mg cp B/1;0;0 CFA;40 CFA;;Liste I;Antimycosique Antifongique;Comprimes Gelules;;;;;;;
Neoxene ovule B/10;0;0 CFA;0 CFA;;SANS TABLEAU;Antiseptique externe;Ovules comprimes gynecologiques;;;;;;;
Phenergan sp Fl/150ml;0;1?057 CFA;1?486 CFA;15/07/2023;SANS TABLEAU;Antihistaminique Antiallergique;Sirops;;;;;;;
Stadiar cp B/20;0;0 CFA;0 CFA;;SANS TABLEAU;Antidiarrheique;Comprimes Gelules;;;;;;;
Ventoline sp FL/150ml;0;2?072 CFA;2?953 CFA;05/11/2021;LISTE I;Bronchodilatateur;Sirops;;;;;;;
Nutribom bte 230g;0;5?616 CFA;7?060 CFA;25/04/2019;ST;;Farines et lait;;;;;;;
Brumes exotic caraibes;0;5?000 CFA;7?690 CFA;14/03/2021;SANS TABLEAU;;;;;;;;;
Pampers couche baby dry S4 9/18kg paq/32;0;7?033 CFA;12?803 CFA;27/08/2020;ST;;Divers ;;;;;;;
Amilo 5mg cp B/14;0;1?192 CFA;1?715 CFA;30/06/2018;LISTE I;Antiinfectieux Antiparasitaire (Nitro imidazoles);Comprimes Gelules;;;;;;;
Clarinase repetabs cp B/14;0;0 CFA;30 CFA;;Liste II;Antihistaminique Antiallergique;Comprimes Gelules;;;;;;;
Funzol 150 cp B/4;0;0 CFA;40 CFA;;Liste I;Antimycosique Antifongique;Comprimes Gelules;;;;;;;
Laroscorbine 500mg cp croq B/10 sans sucre;0;1?918 CFA;2?696 CFA;08/06/2022;SANS TABLEAU;Antiasthenique;Comprimes Gelules;;;;;;;
Phosphalugel sachet B/26 sans sucre;0;2?000 CFA;2?812 CFA;30/10/2021;SANS TABLEAU;Antiacide;Sachets Granules poudres orales;;;;;;;
;0;0 CFA;40 CFA;;;;;;;;;;;
